date,Mean Var
2017-03-02,13165.583080846613
2017-03-03,13163.95041868855
2017-03-06,13148.983983034472
2017-03-07,13135.373437642334
2017-03-08,13139.619011589615
2017-03-09,13146.064946215203
2017-03-10,13213.840922623074
2017-03-13,13242.014725617231
2017-03-14,13226.921729050475
2017-03-15,13313.72736312848
2017-03-16,13302.012207663041
2017-03-17,13208.992946824732
2017-03-20,13187.726965231628
2017-03-21,13063.085443953212
2017-03-22,13004.778404417506
2017-03-23,13005.132376390302
2017-03-24,13019.469670357683
2017-03-27,13006.36447919189
2017-03-28,13081.70949993993
2017-03-29,13052.227229436097
2017-03-30,13065.035261894696
2017-03-31,13034.232436310136
2017-04-03,13044.680019931262
2017-04-04,13037.77872113221
2017-04-05,13045.55083123215
2017-04-06,13056.33313361135
2017-04-07,13052.747904861259
2017-04-10,13049.07999531912
2017-04-11,13042.281176613531
2017-04-12,13033.418012086026
2017-04-13,12994.847414047796
2017-04-17,13116.536732372912
2017-04-18,13113.861003860155
2017-04-19,13100.130060673655
2017-04-20,13220.681655070954
2017-04-21,13195.183580210749
2017-04-24,13268.280107806448
2017-04-25,13364.779161344377
2017-04-26,13371.432140083125
2017-04-27,13397.653945913698
2017-04-28,13408.92732224648
2017-05-01,13401.708332055694
2017-05-02,13439.570456656733
2017-05-03,13367.538776312053
2017-05-04,13387.704330697943
2017-05-05,13411.95756780696
2017-05-08,13460.076587223772
2017-05-09,13485.089574514917
2017-05-10,13436.121985631551
2017-05-11,13423.767026112051
2017-05-12,13464.933632341308
2017-05-15,13478.655079116083
2017-05-16,13418.324111825306
2017-05-17,13206.876030563573
2017-05-18,13250.27692388284
2017-05-19,13270.900797420123
2017-05-22,13327.040732126607
2017-05-23,13337.81789344075
2017-05-24,13384.086739338009
2017-05-25,13480.857266902127
2017-05-26,13463.843974694602
2017-05-30,13439.864708649007
2017-05-31,13421.521479323797
2017-06-01,13519.112108830477
2017-06-02,13606.059920058826
2017-06-05,13608.001737226314
2017-06-06,13552.679354405975
2017-06-07,13627.675666485378
2017-06-08,13571.855802121998
2017-06-09,13444.203839739774
2017-06-12,13389.811392738342
2017-06-13,13480.125343548007
2017-06-14,13539.355500521284
2017-06-15,13434.46792756944
2017-06-16,13314.593337588476
2017-06-19,13480.804695689065
2017-06-20,13409.952646071157
2017-06-21,13492.727545872563
